X,Y,OBJECTID,cdsCode,schoolID,district,name,addr,city,zip,openDate,charter,docType,socType,gsOffered,shrtName,priv
-116.853503567329,32.7293460385768,389,37681556038319,400,Jamul-Dulzura Union Elementary,Jamul Elementary,14567 Lyons Valley Road,Jamul,91935,1980/07/01 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-3,Jamul Primary,N
-116.925135274386,32.7301246797649,390,37681303731262,401,Grossmont Union High,Steele Canyon High,12440 Campo Road,Spring Valley,92019,2000/09/05 00:00:00+00,Y,High School District,High Schools (Public),9-12,Steele Canyon,N
-117.129717204175,32.7250209270712,391,37683386113211,402,San Diego Unified,McGill School of Success,3025 Fir Street,San Diego,92102,1996/09/04 00:00:00+00,Y,Unified School District,Elementary Schools (Public),K-5,McGill,N
-117.250755462083,32.7244123031645,392,37683386040208,403,San Diego Unified,Sunset View Elementary,4365 Hill Street,San Diego,92107,1980/07/01 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-4,Sunset View,N
-117.16240610661,32.7322968552292,393,37683386115570,404,San Diego Unified,Museum,211 Maple Street,San Diego,92103,1998/09/01 00:00:00+00,Y,Unified School District,Elementary Schools (Public),K-8,Museum,N
-117.066486144792,32.6797834590777,394,37683386040059,405,San Diego Unified,Paradise Hills Elementary,5816 Alleghany Street,San Diego,92139,1980/07/01 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-5,Paradise Hills,N
-117.243521199721,33.080187704036,395,37680806106132,406,Encinitas Union Elementary,La Costa Heights Elementary,3035 Levante Street,Carlsbad,92009,1988/07/01 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-6,La Costa Heights,N
-117.260202622961,33.075762196122,396,37680806117709,407,Encinitas Union Elementary,El Camino Creek Elementary,7885 Paseo Aliso,Carlsbad,92009,2000/08/16 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-6,El Camino Creek,N
-116.59524546944,33.0786812450914,397,37681636038327,408,Julian Union Elementary,Julian Elementary,1704 Cape Horn,Julian,92036,1980/07/01 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-5,Julian Elem,N
-117.288312774186,33.0755810952366,398,37680806066989,409,Encinitas Union Elementary,Capri Elementary,941 Capri Road,Encinitas,92024,1980/07/01 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-6,Capri,N
-117.056565004417,33.0763498518936,399,37681063730058,410,Escondido Union High,San Pasqual High,3300 Bear Valley Parkway,Escondido,92025,1980/07/01 00:00:00+00,N,High School District,High Schools (Public),9-12,San Pasqual,N
-116.59524546944,33.0786812450914,400,37681636105845,412,Julian Union Elementary,Julian Junior High,1704 Cape Horn,Julian,92036,1980/07/01 00:00:00+00,N,Elementary School District,Intermediate/Middle Schools (Public),6-8,Julian Jr High,N
-116.595270379667,33.0772123774209,401,37681713733219,413,Julian Union High,Julian High,1656 Highway 78,Julian,92036,1980/07/01 00:00:00+00,N,High School District,High Schools (Public),9-12,Julian,N
-116.59524546944,33.0786812450914,402,37681633731239,414,Julian Union Elementary,Julian Charter,1704 Cape Horn,Julian,92036,1999/11/22 00:00:00+00,Y,Elementary School District,K-12 Schools (Public),K-12,Julian Charter,N
-117.229962654626,33.0734154856104,403,37683463731007,415,San Dieguito Union High,La Costa Canyon High,1 Maverick Way,Encinitas,92009,1996/09/03 00:00:00+00,N,High School District,High Schools (Public),9-12,La Costa Canyon,N
-117.24053426721,33.0720718469428,404,37680806108534,416,Encinitas Union Elementary,Mission Estancia Elementary,3330 Calle Barcelona,Carlsbad,92009,1990/07/01 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-6,Mission Estancia,N
-117.239358387124,33.0620594175982,405,37680806112445,417,Encinitas Union Elementary,Olivenhain Pioneer Elementary,8000 Calle Acervo,Carlsbad,92009,1994/08/05 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-6,Olivenhain Pioneer,N
-117.241425474372,33.0578865045968,406,37683466104749,418,San Dieguito Union High,Diegueno Middle,2150 Village Park Way,Encinitas,92024,1980/07/01 00:00:00+00,N,High School District,Intermediate/Middle Schools (Public),7-8,Diegueno,N
-117.296884988557,33.0578708082464,407,37680806038145,419,Encinitas Union Elementary,Paul Ecke-Central Elementary,185 Union Street,Encinitas,92024,1980/07/01 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-6,Ecke,N
-117.253279882049,33.0559405782296,408,37680806099402,420,Encinitas Union Elementary,Flora Vista Elementary,1690 Wandering Road,Encinitas,92024,1980/07/01 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-6,Flora Vista,N
-117.242451479024,33.0468698903112,409,37680806095046,421,Encinitas Union Elementary,Park Dale Lane Elementary,2050 Park Dale Lane,Encinitas,92024,1976/07/01 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-6,Park Dale Ln,N
-117.277847698796,33.0439355609519,410,37683463737384,422,San Dieguito Union High,Sunset High (Continuation),684 Requeza Street,Encinitas,92024,1980/07/01 00:00:00+00,N,High School District,Continuation High Schools,9-12,Sunset,N
-117.265646462663,33.0430350227045,411,37683466059737,423,San Dieguito Union High,Oak Crest Middle,675 Balour Drive,Encinitas,92024,1980/07/01 00:00:00+00,N,High School District,Intermediate/Middle Schools (Public),7-8,Oak Crest,N
-117.271928006815,33.04011696295,412,37680806038152,424,Encinitas Union Elementary,Ocean Knoll Elementary,910 Melba Road,Encinitas,92024,1953/07/01 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-6,Ocean Knoll,N
-116.865021238977,33.0424131942566,413,37683046039036,425,Ramona City Unified,Ramona Elementary,415 Eighth Street,Ramona,92065,1980/07/01 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-6,Ramona Elem,N
-117.274981392013,33.0371397773967,414,37683463737418,426,San Dieguito Union High,San Dieguito HS Academy,800 Santa Fe Drive,Encinitas,92024,1980/07/01 00:00:00+00,N,High School District,High Schools (Public),9-12,San Dieguito,N
-116.863589424318,33.0392698735523,415,37683040102178,427,Ramona City Unified,Future Bound Independent Study Secondary,720 Ninth Street,Ramona,92065,2003/09/02 00:00:00+00,N,Unified School District,Alternative Schools of Choice,7-12,Future Bound,N
-116.863697203736,33.0410954629189,416,37683043735958,428,Ramona City Unified,Montecito High (Continuation),720 Ninth Street,Ramona,92065,1980/07/01 00:00:00+00,N,Unified School District,Continuation High Schools,9-12,Montecito,N
-116.957684585055,33.0326126691856,417,37683046107999,429,Ramona City Unified,Mt. Woodson Elementary,17427 Archie Moore Road,Ramona,92065,1980/07/01 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-6,Mt Woodson,N
-117.086811628246,33.0301985035745,418,37682966070858,430,Poway Unified,Westwood Elementary,17449 Matinal Road,San Diego,92127,1980/07/01 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-5,Westwood,N
-116.890311571083,33.0179415312223,419,37683046039028,431,Ramona City Unified,Hanson Elementary,2520 Boundary Avenue,Ramona,92065,1980/07/01 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-6,Hanson,N
-116.871216322759,33.0265892555313,420,37683046105563,432,Ramona City Unified,Olive Peirce Middle,1521 Hanson Lane,Ramona,92065,1980/07/01 00:00:00+00,N,Unified School District,Intermediate/Middle Schools (Public),7-8,Peirce,N
-116.868460871011,33.0265599403367,421,37683043735974,433,Ramona City Unified,Ramona High,1401 Hanson Lane,Ramona,92065,1980/07/01 00:00:00+00,N,Unified School District,High Schools (Public),9-12,Ramona,N
-117.051277000866,33.023746657058,422,37682966097216,434,Poway Unified,Chaparral Elementary,17250 Tannin Drive,Poway,92064,1980/07/01 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-5,Chaparral Elem,N
-117.206438577655,33.0213927839051,423,37683126039051,435,Rancho Santa Fe Elementary,R. Roger Rowe Elementary,5927 La Granada,Rancho Santa Fe,92067,1980/07/01 00:00:00+00,N,Elementary School District,Elementary Schools (Public),P-5,Rowe Elem,N
-117.206438577655,33.0213927839051,424,37683126070908,436,Rancho Santa Fe Elementary,R. Roger Rowe Middle,5927 La Granada,Rancho Santa Fe,92067,1980/07/01 00:00:00+00,N,Elementary School District,Intermediate/Middle Schools (Public),6-8,Rowe Mid,N
-117.038947661058,33.0162480793746,425,37682966085088,437,Poway Unified,Painted Rock Elementary,16711 Martincoit Road,Poway,92064,1980/07/01 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-5,Painted Rock,N
-116.810513970828,33.0174684772345,426,37683046110720,438,Ramona City Unified,Barnett Elementary,23925 Couna Way,Ramona,92065,1992/09/01 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-6,Barnett,N
-116.791270516766,33.0090039883249,427,37683046105555,439,Ramona City Unified,James Dukes Elementary,24908 Abalar Way,Ramona,92065,1980/07/01 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-6,Dukes,N
-117.250492436506,33.0037778994162,428,37683876070882,440,Solana Beach Elementary,Solana Vista Elementary,780 Santa Victoria Avenue,Solana Beach,92075,1980/07/01 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-3,Solana Vista,N
-117.087043467219,33.0049018346821,429,37682966109326,441,Poway Unified,Turtleback Elementary,15855 Turtleback Road,San Diego,92127,1990/09/10 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-5,Turtleback,N
-117.026228357686,32.9991696626229,430,37682963735867,442,Poway Unified,Poway High,15500 Espola Road,Poway,92064,1980/07/01 00:00:00+00,N,Unified School District,High Schools (Public),9-12,Poway,N
-117.26144659436,32.9968916003554,431,37683876040455,443,Solana Beach Elementary,Skyline Elementary,606 Lomas Santa Fe Drive,Solana Beach,92075,1980/07/01 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-6,Skyline,N
-117.192154332042,32.9968292134042,432,37683876111181,444,Solana Beach Elementary,Solana Santa Fe Elementary,6570 El Apajo,Rancho Santa Fe,92067,1993/09/01 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-6,Solana Santa Fe,N
-117.065133529783,32.997069475172,433,37682966107460,445,Poway Unified,Bernardo Heights Middle,12990 Paseo Lucido,San Diego,92128,1980/07/01 00:00:00+00,N,Unified School District,Intermediate/Middle Schools (Public),6-8,Bernardo Heights,N
-117.262794803387,32.9941781103666,434,37683466061998,446,San Dieguito Union High,Earl Warren Middle,155 Stevens Street,Solana Beach,92075,1980/07/01 00:00:00+00,N,High School District,Intermediate/Middle Schools (Public),7-8,Warren,N
-117.06521340305,32.9957825771011,435,37682963730819,447,Poway Unified,Rancho Bernardo High,13010 Paseo Lucido,San Diego,92128,1990/09/10 00:00:00+00,N,Unified School District,High Schools (Public),9-12,Rancho Bernardo,N
-117.092330487415,32.9906984930616,436,37682966097208,448,Poway Unified,Rolling Hills Elementary,15255 Penasquitos Drive,San Diego,92129,1980/07/01 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-5,Rolling Hills,N
-117.071658327586,32.9837668475574,437,37682966110886,449,Poway Unified,Highland Ranch Elementary,14840 Waverley Downs Way,San Diego,92128,1992/09/01 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-5,Highland Ranch,N
-117.028268129238,32.9797623989267,438,37682966070866,450,Poway Unified,Twin Peaks Middle,14640 Tierra Bonita Road,Poway,92064,1980/07/01 00:00:00+00,N,Unified School District,Intermediate/Middle Schools (Public),6-8,Twin Peaks,N
